17.394,182,BD,0749,B7,
17.394,182,BD,074A,B7,
17.409,183,BD,0749,B7,
17.409,183,BD,0749,B7,
17.409,183,BD,0749,B7,
17.409,182,BD,0748,B7,
17.425,182,BD,0748,B8,
17.425,183,BD,0749,B8,
17.425,182,BD,0748,B8,
17.425,182,BD,0747,B8,
17.44,183,BD,0747,B8,
17.44,184,BC,0747,B7,
17.44,186,BB,0747,B7,
17.44,188,B9,0747,B7,
17.456,189,B9,0747,B7,
17.456,190,B8,0747,B7,
17.456,190,B8,0747,B7,
17.456,190,B8,0747,B7,
17.456,191,B7,0746,B7,
17.472,190,B8,0746,B8,
17.472,192,B7,0746,B8,
17.472,190,B8,0745,B8,
17.472,189,B9,0746,B8,
17.487,189,B9,0746,B8,
17.487,189,B9,0747,B8,
17.487,190,B8,0747,B8,
17.487,189,B9,0746,B8,
17.503,188,B9,0746,B8,
17.503,188,B9,0748,B8,
17.503,187,BA,0747,B8,
17.518,188,B9,0747,B7,
17.518,187,BA,0747,B7,
17.518,188,B9,0748,B7,
17.518,187,BA,0748,B8,
17.518,186,BB,0748,B8,
17.534,185,BB,0748,B8,
17.534,185,BB,0749,B8,
17.534,185,BB,0749,B8,
17.534,184,BC,0749,B8,
17.534,183,BD,0749,B8,
17.55,182,BD,0749,B7,
17.55,183,BD,0749,B7,
17.55,182,BD,0749,B7,
17.55,182,BD,074A,B7,
17.565,183,BD,074A,B7,
17.565,183,BD,074A,B7,
17.565,184,BC,074A,B7,
17.565,183,BD,0749,B7,
17.581,182,BD,0749,B7,
17.581,182,BD,0749,B7,
17.581,181,BE,0749,B7,
17.581,181,BE,0749,B7,
17.596,180,BF,0749,B7,
17.596,181,BE,0748,B7,
17.596,181,BE,0747,B7,
17.596,181,BE,0747,B7,
17.612,181,BE,0746,B7,
17.612,180,BF,0746,B7,
17.612,179,BF,0745,B7,
17.612,179,BF,0746,B7,
17.628,179,BF,0745,B7,
17.628,179,BF,0745,B7,
17.628,179,BF,0746,B7,
17.628,178,C0,0746,B7,
17.628,179,BF,0745,B7,
