Time:2020/09/24 15:47:09
5.163,65535,00,073B,00,
5.163,65535,00,073B,B9,
5.179,65535,00,073B,B8,
5.179,65535,00,073B,B9,
5.179,65535,00,073B,B9,
5.179,65535,00,073B,B9,
5.194,65535,02,073B,B9,
5.194,65535,02,073B,B9,
5.194,1,02,073B,B9,
5.194,1,02,0733,B8,
5.194,1,02,0734,B9,
5.21,1,02,0736,B9,
5.21,1,04,073E,B9,
5.21,1,04,0732,B8,
5.21,1,04,0740,B9,
5.226,1,04,072D,B9,
5.226,1,04,073D,B8,
5.226,1,06,0738,B8,
5.226,1,06,0738,B9,
5.241,1,06,0736,B9,
5.241,1,06,073F,B9,
5.241,1,06,0732,B8,
5.257,1,06,0739,B9,
5.257,1,08,073F,B8,
5.257,1,08,0739,B8,
5.257,1,08,073D,B8,
5.257,1,08,0740,B8,
5.272,1,08,073B,B9,
5.272,1,0A,0741,B8,
5.272,1,0A,073A,B9,
5.272,1,0A,0744,B8,
5.272,1,0A,073B,B9,
5.288,1,0A,0740,B8,
5.288,1,0A,073F,B9,
5.288,1,0C,0741,B8,
5.288,1,0C,073F,B9,
5.304,1,0C,073C,B8,
5.304,1,0C,0740,B8,
5.304,1,0C,073F,B9,
5.304,1,0E,0741,B8,
5.319,1,0E,0740,B9,
5.319,1,0E,073F,B9,
5.319,1,0E,073B,B8,
5.319,1,0E,0742,B8,
5.335,1,0E,0740,B9,
5.335,1,10,073C,B9,
5.335,1,10,0741,B8,
5.335,1,10,0742,B9,
5.35,1,10,073F,B8,
5.35,1,10,0742,B8,
5.35,1,12,0743,B9,
5.35,1,12,0742,B8,
5.35,1,12,0740,B8,
5.366,1,12,073F,B9,
5.366,1,12,0743,B8,
5.366,1,12,0743,B9,
5.366,1,14,0744,B8,
5.382,1,14,0744,B9,
5.382,1,14,0742,B8,
5.382,1,14,073F,B9,
5.382,1,14,073E,B9,
5.397,1,16,0744,B8,
5.397,1,16,0743,B9,
5.397,1,16,0745,B8,
5.397,1,16,0744,B8,
5.413,1,16,0744,B9,
5.413,1,16,0745,B8,
5.413,1,18,0745,B8,
5.413,1,18,0744,B9,
5.428,1,18,0743,B8,
5.428,1,18,0743,B9,
5.428,1,18,0743,B8,
5.428,1,1A,0743,B8,
5.444,1,1A,0742,B8,
5.444,1,1A,0743,B8,
5.444,1,1A,0743,B8,
5.444,1,1A,0744,B8,
5.444,3,1A,0744,B9,
5.46,4,1C,0745,B8,
5.46,7,1C,0745,B9,
5.46,8,1C,0746,B8,
5.46,9,1C,0746,B8,
5.475,9,1C,0746,B8,
5.475,10,1E,0746,B9,
5.475,11,1E,0746,B8,
5.475,11,1E,0747,B9,
5.491,12,1E,0747,B8,
5.491,13,1E,0741,B8,
5.491,13,1E,0742,B8,
5.491,14,20,0744,B9,
5.506,15,20,0745,B8,
5.506,16,20,0747,B9,
5.506,17,20,0747,B8,
5.506,17,20,0747,B8,
5.506,18,22,0747,B8,
5.522,18,22,0742,B8,
5.522,20,22,0743,B8,
5.522,20,22,0745,B8,
5.522,21,22,0747,B8,
5.538,22,22,0748,B8,
5.538,22,24,0748,B9,
5.538,23,24,0742,B8,
5.538,24,24,0744,B8,
5.553,25,24,0747,B9,
5.553,25,24,0746,B8,
5.553,26,26,0748,B9,
5.553,27,26,0743,B8,
5.569,28,26,0744,B9,
5.569,29,26,0747,B8,
5.569,29,26,0748,B8,
5.569,29,26,0748,B9,
5.584,31,28,0744,B9,
5.584,32,28,0746,B9,
5.584,32,28,0748,B8,
5.584,33,28,0749,B9,
5.584,33,28,0744,B8,
5.6,34,2A,0747,B9,
5.6,35,2A,0749,B8,
5.6,36,2A,0749,B9,
5.6,37,2A,0745,B8,
5.616,37,2A,0749,B8,
5.616,38,2A,0749,B9,
5.616,38,2C,0744,B8,
5.631,39,2C,0748,B9,
5.631,40,2C,0749,B8,
5.631,41,2C,074A,B9,
5.631,42,2C,0747,B8,
5.631,42,2E,074A,B8,
5.647,43,2E,0749,B8,
5.647,44,2E,0747,B9,
5.647,45,2E,074A,B8,
5.647,45,2E,074A,B8,
5.662,46,30,0748,B8,
5.662,46,30,074A,B9,
5.662,48,30,0745,B8,
5.662,48,30,0749,B8,
5.662,49,30,074B,B8,
5.678,50,30,0747,B8,
5.678,50,32,074B,B8,
5.678,51,32,074A,B8,
5.678,52,32,0749,B9,
5.694,53,32,074B,B8,
5.694,54,32,0747,B8,
5.694,54,34,074B,B8,
5.694,55,34,074B,B8,
5.709,56,34,074A,B8,
5.709,56,34,074B,B8,
5.709,57,34,0748,B8,
5.709,58,34,074B,B9,
5.725,59,36,0746,B8,
5.725,59,36,074B,B9,
5.725,60,36,074B,B8,
5.725,61,36,074A,B8,
5.74,61,36,074B,B8,
5.74,62,38,0749,B8,
5.74,63,38,074B,B8,
5.74,63,38,0747,B8,
5.74,64,38,074C,B8,
5.756,65,38,0747,B9,
5.756,66,38,074B,B8,
5.756,67,3A,0747,B8,
5.756,67,3A,074C,B8,
5.772,69,3A,0746,B8,
5.772,68,3A,074C,B8,
5.772,69,3A,0745,B9,
5.772,70,3C,074C,B8,
5.787,71,3C,0746,B8,
5.787,71,3C,074C,B9,
5.787,72,3C,074C,B8,
5.787,72,3C,074C,B8,
5.803,74,3C,0746,B8,
5.803,74,3E,074C,B8,
5.803,75,3E,0747,B8,
5.803,76,3E,074C,B8,
5.818,76,3E,0747,B8,
5.818,77,3E,074C,B8,
5.818,77,40,0747,B8,
5.818,78,40,074C,B8,
5.834,79,40,0747,B8,
5.834,79,40,074B,B8,
5.834,79,40,0746,B8,
5.834,80,40,074B,B8,
5.834,80,42,074A,B8,
5.85,80,42,0748,B8,
5.85,81,42,074B,B9,
5.85,81,42,0744,B8,
5.85,82,42,0748,B9,
5.865,81,44,0749,B8,
5.865,81,44,0744,B8,
